===== RETIROS EN ATM POR CLIENTE   =====

DNI : 42558878

OPERACIONES
TARJETA          MONTO    MON FECHA
4914148181557854 00100.00 PEN 02-JAN
4914148181447852 00200.00 PEN 04-FEB
4914148181557854 00070.00 PEN 07-MAR
4914148181112477 00980.00 PEN 10-APR
4914148181500254 00140.00 PEN 15-MAY
4914148181557854 00200.00 PEN 15-JUN
4914148181112477 00070.00 PEN 17-JUL
4914148181557854 00210.00 PEN 20-AGO
4914148181557854 00110.00 PEN 21-SEP
4914148181112477 00330.00 PEN 22-OCT
4914148181447852 00070.00 PEN 23-NOV
4914148181447852 00080.00 PEN 28-DEC
4914148181557854 00110.00 PEN 30-DEC
4914148181557854 00190.00 PEN 31-JAN

TOTALES
TOTAL OPERACIONES : 00014
TOTAL SOLES       : 02860.00
TOTAL DOLAR       : 00000.00
===== RETIROS EN ATM POR CLIENTE   =====
